observer, scene, distortion_A, distortion_B, level_A, level_B, tmo_A, tmo_B, is_A_selected
"observer0001", "Werewolf", "1000", "125", "64", "64", "Fixed", "ContentAware", 1
"observer0001", "Street", "125", "250", "320", "64", "ContentAware", "Fixed", 1
"observer0001", "Street", "250", "1000", "8000", "320", "ContentAware", "Fixed", 1
"observer0001", "Face3", "250", "1000", "320", "64", "Fixed", "ContentAware", 1
"observer0001", "Street", "125", "500", "1600", "40000", "ContentAware", "Fixed", 0
"observer0001", "Face3", "1000", "1000", "8000", "64", "Fixed", "Fixed", 1
"observer0001", "Werewolf", "500", "63", "8000", "8000", "Fixed", "Fixed", 1
"observer0001", "Face3", "63", "63", "320", "64", "ContentAware", "ContentAware", 0
"observer0001", "Street", "250", "125", "1600", "8000", "ContentAware", "ContentAware", 1
"observer0001", "Werewolf", "250", "63", "8000", "1600", "Fixed", "Fixed", 1
"observer0001", "Street", "125", "250", "1600", "8000", "Fixed", "Fixed", 0
"observer0001", "Web", "63", "500", "320", "40000", "ContentAware", "ContentAware", 0
"observer0001", "Face3", "125", "63", "64", "1600", "ContentAware", "ContentAware", 0
"observer0001", "Street", "250", "250", "320", "64", "ContentAware", "ContentAware", 1
"observer0001", "Face3", "250", "500", "320", "1600", "ContentAware", "ContentAware", 0
"observer0001", "Face3", "500", "63", "1600", "320", "ContentAware", "ContentAware", 1
"observer0001", "Werewolf", "63", "1000", "1600", "1000000", "Fixed", "Fixed", 0
"observer0001", "Web", "250", "500", "64", "40000", "Fixed", "Fixed", 0
"observer0001", "Web", "125", "125", "8000", "40000", "Fixed", "ContentAware", 0
"observer0001", "Werewolf", "1000", "500", "1000000", "8000", "Fixed", "ContentAware", 1
"observer0001", "Face3", "125", "125", "320", "64", "Fixed", "Fixed", 1
"observer0001", "Werewolf", "1000", "500", "8000", "8000", "Fixed", "Fixed", 1
"observer0001", "Face3", "1000", "250", "1600", "64", "Fixed", "ContentAware", 1
"observer0001", "Web", "250", "125", "8000", "1600", "Fixed", "Fixed", 1
"observer0001", "Street", "1000", "1000", "40000", "64", "ContentAware", "Fixed", 1
"observer0001", "Werewolf", "250", "1000", "1600", "320", "Fixed", "Fixed", 1
"observer0001", "Werewolf", "1000", "500", "1600", "64", "Fixed", "Fixed", 1
